0,0,0,0,0,0,0,0,0
1a,0,0,0,1,0,0,1,1
1b,0,0,0,1,0,1,0,2
1c,0,0,0,1,1,0,0,4
2a,0,0,0,2,0,1,1,3
2b,0,0,0,2,1,0,1,5
2c,0,0,0,2,1,1,0,6
2d,0,0,1,1,0,0,2,9
2e,0,0,1,1,0,1,1,10
2f,0,0,1,1,1,0,1,12
2g,0,0,1,1,0,2,0,18
2h,0,0,1,1,1,1,0,20
2i,0,0,1,1,2,0,0,36
2j,0,1,1,0,1,0,1,72
2k,0,1,1,0,1,1,0,80
2l,0,1,1,0,2,0,0,96
2m,0,1,1,0,0,1,1,136
2n,0,1,1,0,0,2,0,144
2o,0,1,1,0,0,0,2,264
3aa,0,0,0,3,1,1,1,7
3ab,0,0,1,2,0,1,2,11
3ac,0,0,1,2,1,0,2,13
3ad,0,0,1,2,1,1,1,14
3ae,0,0,1,2,0,2,1,19
3af,0,0,1,2,1,1,1,21
3ag,0,0,1,2,1,2,0,22
3ah,0,0,2,1,1,1,1,28
3ai,0,0,1,2,2,0,1,37
3aj,0,0,1,2,2,1,0,38
3ak,0,1,1,1,1,0,2,73
3al,0,1,1,1,1,1,1,74
3am,0,1,1,1,2,0,1,76
3an,0,1,1,1,1,1,1,81
3ao,0,1,1,1,1,2,0,82
3ap,0,1,1,1,2,1,0,84
3aq,0,1,2,0,1,1,1,88
3ar,0,1,1,1,2,0,1,97
3as,0,1,1,1,2,1,0,98
3at,0,1,1,1,3,0,0,100
3au,0,1,2,0,2,0,1,104
3av,0,1,2,0,2,1,0,112
3aw,0,1,1,1,0,1,2,137
3ax,0,1,1,1,0,2,1,138
3ay,0,1,1,1,1,1,1,140
3az,0,1,1,1,0,2,1,145
3ba,0,1,1,1,0,3,0,146
3bb,0,1,1,1,1,2,0,148
3bc,0,1,2,0,0,2,1,152
3bd,0,1,2,0,1,1,1,168
3be,0,1,2,0,1,2,0,176
3bf,0,2,1,0,1,1,1,200
3bg,0,1,1,1,0,0,3,265
3bh,0,1,1,1,0,1,2,266
3bi,0,1,1,1,1,0,2,268
3bj,0,1,2,0,0,1,2,280
3bk,0,1,2,0,1,0,2,296
4aa,0,0,1,3,1,1,2,15
4ab,0,0,1,3,1,2,1,23
4ac,0,0,2,2,0,2,2,27
4ad,0,0,2,2,1,1,2,29
4ae,0,0,2,2,1,2,1,30
4af,0,0,1,3,2,1,1,39
4ag,0,0,2,2,2,0,2,45
4ah,0,0,2,2,2,1,1,46
4ai,0,0,2,2,2,2,0,54
4aj,0,1,1,2,1,1,2,75
4ak,0,1,1,2,2,0,2,77
4al,0,1,1,2,2,1,1,78
4am,0,1,1,2,1,2,1,83
4an,0,1,1,2,2,1,1,85
4ao,0,1,1,2,2,2,0,86
4ap,0,1,2,1,1,1,2,89
4aq,0,1,2,1,1,2,1,90
4ar,0,1,2,1,2,1,1,92
4as,0,1,1,2,2,1,1,99
4at,0,1,1,2,3,0,1,101
4au,0,1,1,2,3,1,0,102
4av,0,1,2,1,2,0,2,105
4aw,0,1,2,1,2,1,1,106
4ax,0,1,2,1,3,0,1,108
4ay,0,1,2,1,2,1,1,113
4az,0,1,2,1,2,2,0,114
4ba,0,1,2,1,3,1,0,116
4bb,0,1,3,0,2,1,1,120
4bc,0,1,1,2,0,2,2,139
4bd,0,1,1,2,1,1,2,141
4be,0,1,1,2,1,2,1,142
4bf,0,1,1,2,0,3,1,147
4bg,0,1,1,2,1,2,1,149
4bh,0,1,1,2,1,3,0,150
4bi,0,1,2,1,0,2,2,153
4bj,0,1,2,1,0,3,1,154
4bk,0,1,2,1,1,2,1,156
4bl,0,1,2,1,1,1,2,169
4bm,0,1,2,1,1,2,1,170
4bn,0,1,2,1,2,1,1,172
4bo,0,1,2,1,1,2,1,177
4bp,0,1,2,1,1,3,0,178
4bq,0,1,2,1,2,2,0,180
4br,0,1,3,0,1,2,1,184
4bs,0,2,1,1,1,1,2,201
4bt,0,2,1,1,1,2,1,202
4bu,0,2,1,1,2,1,1,204
4bv,0,2,2,0,1,2,1,216
4bw,0,2,2,0,2,1,1,232
4bx,0,2,2,0,2,2,0,240
4by,0,1,1,2,0,1,3,267
4bz,0,1,1,2,1,0,3,269
4ca,0,1,1,2,1,1,2,270
4cb,0,1,2,1,0,1,3,281
4cc,0,1,2,1,0,2,2,282
4cd,0,1,2,1,1,1,2,284
4ce,0,1,2,1,1,0,3,297
4cf,0,1,2,1,1,1,2,298
4cg,0,1,2,1,2,0,2,300
4ch,0,1,3,0,1,1,2,312
4ci,0,2,2,0,1,1,2,344
4cj,0,2,2,0,2,0,2,360
4ck,0,2,2,0,0,2,2,408
4cl,1,1,1,1,2,0,2,585
4cm,1,1,1,1,2,1,1,586
4cn,1,1,1,1,3,0,1,588
4co,1,1,1,1,2,2,0,594
4cp,1,1,1,1,3,1,0,596
4cq,1,1,1,1,4,0,0,612
4cr,1,1,1,1,1,1,2,649
4cs,1,1,1,1,1,2,1,650
4ct,1,1,1,1,2,1,1,652
4cu,1,1,1,1,1,2,1,657
4cv,1,1,1,1,1,3,0,658
4cw,1,1,1,1,2,2,0,660
4cx,1,1,1,1,1,0,3,777
4cy,1,1,1,1,1,1,2,778
4cz,1,1,1,1,2,0,2,780
4da,1,1,1,1,0,2,2,1161
4db,1,1,1,1,0,3,1,1162
4dc,1,1,1,1,0,4,0,1170
4dd,1,1,1,1,0,1,3,1289
4de,1,1,1,1,0,2,2,1290
4df,1,1,1,1,0,0,4,2313
5aa,0,0,2,3,1,2,2,31
5ab,0,0,2,3,2,1,2,47
5ac,0,0,2,3,2,2,1,55
5ad,0,1,1,3,2,1,2,79
5ae,0,1,1,3,2,2,1,87
5af,0,1,2,2,1,2,2,91
5ag,0,1,2,2,2,1,2,93
5ah,0,1,2,2,2,2,1,94
5ai,0,1,1,3,3,1,1,103
5aj,0,1,2,2,2,1,2,107
5ak,0,1,2,2,3,0,2,109
5al,0,1,2,2,3,1,1,110
5am,0,1,2,2,2,2,1,115
5an,0,1,2,2,3,1,1,117
5ao,0,1,2,2,3,2,0,118
5ap,0,1,3,1,2,1,2,121
5aq,0,1,3,1,2,2,1,122
5ar,0,1,3,1,3,1,1,124
5as,0,1,1,3,1,2,2,143
5at,0,1,1,3,1,3,1,151
5au,0,1,2,2,0,3,2,155
5av,0,1,2,2,1,2,2,157
5aw,0,1,2,2,1,3,1,158
5ax,0,1,2,2,1,2,2,171
5ay,0,1,2,2,2,1,2,173
5az,0,1,2,2,2,2,1,174
5ba,0,1,2,2,1,3,1,179
5bb,0,1,2,2,2,2,1,181
5bc,0,1,2,2,2,3,0,182
5bd,0,1,3,1,1,2,2,185
5be,0,1,3,1,1,3,1,186
5bf,0,1,3,1,2,2,1,188
5bg,0,2,1,2,1,2,2,203
5bh,0,2,1,2,2,1,2,205
5bi,0,2,1,2,2,2,1,206
5bj,0,2,2,1,1,2,2,217
5bk,0,2,2,1,1,3,1,218
5bl,0,2,2,1,2,2,1,220
5bm,0,2,2,1,2,1,2,233
5bn,0,2,2,1,2,2,1,234
5bo,0,2,2,1,3,1,1,236
5bp,0,2,2,1,2,2,1,241
5bq,0,2,2,1,2,3,0,242
5br,0,2,2,1,3,2,0,244
5bs,0,2,3,0,2,2,1,248
5bt,0,1,1,3,1,1,3,271
5bu,0,1,2,2,0,2,3,283
5bv,0,1,2,2,1,1,3,285
5bw,0,1,2,2,1,2,2,286
5bx,0,1,2,2,1,1,3,299
5by,0,1,2,2,2,0,3,301
5bz,0,1,2,2,2,1,2,302
5ca,0,1,3,1,1,1,3,313
5cb,0,1,3,1,1,2,2,314
5cc,0,1,3,1,2,1,2,316
5cd,0,2,2,1,1,1,3,345
5ce,0,2,2,1,1,2,2,346
5cf,0,2,2,1,2,1,2,348
5cg,0,2,2,1,2,0,3,361
5ch,0,2,2,1,2,1,2,362
5ci,0,2,2,1,3,0,2,364
5cj,0,2,3,0,2,1,2,376
5ck,0,2,2,1,0,2,3,409
5cl,0,2,2,1,0,3,2,410
